Model,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,number_of_photos,Car Condition,Selling Price
MarutiCelerio,61066,2014,Second Owner,Petrol,MANUAL,15/01/2021,8,44,307599
FordFigo1.2ZXI,77145,2010,Second Owner,Petrol,MANUAL,31/03/2021,3,45,177099
ToyotaEtios,80949,2012,First Owner,Diesel,MANUAL,19/05/2021,6,44,265799
Hyundaii20SPORTZ1.2,62270,2012,First Owner,Petrol,MANUAL,Expired,8,39,305999
HyundaiElitei20MAGNA1.4,61164,2014,First Owner,Diesel,MANUAL,16/11/2021,5,42,473199
VolkswagenPoloHIGHLINE1.2L,33407,2015,First Owner,Petrol,MANUAL,25/02/2021,22,43,490199
HyundaiEonERA,43183,2014,Second Owner,Petrol,MANUAL,28/08/2021,4,41,214599
Hyundaii20ASTA,96899,2010,Second Owner,Petrol,MANUAL,27/10/2021,11,4,335899
HyundaiGrandi10MAGNA1.2KAPPA,48053,2017,First Owner,Petrol + CNG,MANUAL,28/11/2021,22,45,398399
ToyotaCorollaAltis,103761,2015,First Owner,Petrol,MANUAL,29/01/2022,13,42,614299
HyundaiCreta1.6SX,42785,2015,First Owner,Diesel,MH03,Comprehensive,6,47,897799
HyundaiEonERA,5013,2012,First Owner,Petrol,MANUAL,18/01/2021,8,42,242899
Hyundaii10SPORTZ,29438,2010,First Owner,Petrol,MANUAL,31/01/2021,8,42,254899
HyundaiEonERA,20229,2015,First Owner,Petrol,MANUAL,03/11/2021,11,46,228099
VolkswagenPoloHIGHLINE1.2L,45605,2012,Third Owner,Petrol,MANUAL,20/03/2021,6,41,417099
MarutiRitz,59348,2012,First Owner,Diesel,MANUAL,14/11/2021,15,45,239099
MarutiAlto,81168,2007,Second Owner,Petrol,MANUAL,04/07/2021,7,4,91699
MarutiBalenoSIGMA1.2,40622,2017,First Owner,Petrol,MANUAL,21/03/2021,3,45,430599
MarutiIGNISZETA1.2K12,31152,2017,First Owner,Petrol,AUTOMATIC,20/07/2021,11,49,544199
VolkswagenPoloTrendline1.0L,7951,2020,First Owner,Petrol,KA03,Comp,4,5,633299
ToyotaInnovaCrysta2.4GX8,38288,2019,First Owner,Diesel,MANUAL,19/03/2021,9,47,1545999
HyundaiSantroXingXOERLXEURO,49964,2007,Second Owner,Petrol,MANUAL,06/12/2020,7,39,133199
MarutiSwiftVDI,49668,2015,First Owner,Diesel,MANUAL,30/03/2021,10,45,503599
HyundaiSantroXing,73791,2008,First Owner,Petrol,MANUAL,22/08/2021,11,38,115999
HondaJazz1.2BASEI,86489,2009,First Owner,Petrol,MANUAL,04/07/2021,6,42,206641
HyundaiSantroXingXLERLXEURO,133595,2006,Second Owner,Petrol,MANUAL,Expired,9,38,75299
MarutiCelerioZXI,14067,2019,First Owner,Petrol,MANUAL,02/08/2021,18,49,544999
MahindraXUV500W6,181811,2014,First Owner,Diesel,MANUAL,25/05/2021,3,37,627399
Hyundaii10MAGNA1.1,83453,2012,First Owner,Petrol,MANUAL,16/12/2021,8,4,248399
ToyotaEtiosLivaD4DGD,75946,2012,First Owner,Diesel,MANUAL,29/08/2021,9,45,278699
Hyundaii20ASTA,151123,2010,First Owner,Petrol,MANUAL,05/09/2021,5,44,219399
HondaBrio1.2EXMTI,55430,2013,Second Owner,Petrol,MANUAL,30/03/2021,4,43,228918
Hyundaii10SPORTZ,155505,2009,First Owner,Petrol,MANUAL,06/11/2021,12,41,200199
MarutiSwift,42416,2014,Second Owner,Petrol,MANUAL,Expired,16,41,412499
MarutiSwiftVDI,37481,2015,First Owner,Diesel,MANUAL,01/03/2021,3,45,571713
Hyundaii20MAGNA1.2,64924,2012,First Owner,Petrol,MANUAL,23/09/2021,19,42,332428
HondaCitySMT,118873,2009,First Owner,Petrol,MANUAL,24/03/2021,10,39,264340
FordEcosport1.5TITANIUMTIVCT,39090,2014,Second Owner,Petrol,AUTOMATIC,30/09/2021,9,43,615399
MarutiOMNIE8,17953,2017,First Owner,Petrol,KA01,Comp,7,47,336399
MarutiSwift,74429,2013,Second Owner,Diesel,MANUAL,Expired,6,45,365244
RenaultKwid,22629,2016,Second Owner,Petrol,MANUAL,13/11/2021,4,47,211099
RenaultKwid,21136,2015,First Owner,Petrol,MANUAL,30/11/2021,5,46,308399
HyundaiGrandi10SPORTS1.2,47789,2015,First Owner,Petrol,MANUAL,26/06/2021,8,41,378999
HyundaiGrandi10ASTA1.2AT,32055,2015,Second Owner,Petrol,AUTOMATIC,Expired,11,45,376799
SkodaFabiaAMBIENTE1.2,102067,2010,Third Owner,Petrol,MANUAL,24/04/2021,21,42,147099
VolkswagenPoloHIGHLINE1.2L,31922,2013,Second Owner,Petrol,MANUAL,06/11/2021,8,41,356499
MarutiSwiftZXI,11903,2018,First Owner,Petrol,AUTOMATIC,29/07/2021,15,48,700399
MarutiWagonR1.0LXI,73294,2017,First Owner,Petrol + CNG,MANUAL,16/08/2021,1,43,399499
MarutiVitaraBrezzaZDI,37246,2016,First Owner,Diesel,MANUAL,16/12/2020,5,47,757899
FordFigo1.2ZXI,52991,2010,First Owner,Petrol,MANUAL,02/11/2021,26,4,126781
MarutiBalenoALPHADDIS,78579,2017,First Owner,Diesel,MANUAL,05/03/2021,21,44,694699
MarutiWagonR1.0,30435,2014,First Owner,Petrol,MANUAL,10/06/2021,10,42,369599
Hyundaii20SPORTZ1.2,46859,2012,Third Owner,Petrol,MANUAL,Expired,4,41,278199
Hyundaii20SPORTZ1.4,47489,2013,First Owner,Diesel,MANUAL,01/01/2021,13,44,306399
HondaCitySMT,107215,2011,First Owner,Petrol,MANUAL,14/09/2021,5,44,258699
MarutiSwiftDzireVXI1.2BS,137406,2011,First Owner,Petrol,MANUAL,26/05/2021,23,34,315899
MarutiEeco5STRCNGWITHAC,49286,2018,First Owner,Petrol + CNG,MANUAL,01/09/2021,3,46,322722
MarutiWagonR1.0LXI,66711,2012,Second Owner,Petrol + CNG,MANUAL,10/09/2020,5,42,316000
MarutiCelerioVXI,22743,2015,Second Owner,Petrol,AUTOMATIC,20/02/2021,7,46,340706
VolkswagenVentoHIGHLINEPETROL,75120,2010,Second Owner,Petrol,AUTOMATIC,13/01/2021,12,4,266599
MarutiSwiftZXI+BS,48242,2018,First Owner,Petrol + CNG,DL4C,Third_party,8,46,579399
MarutiWagonR1.0,28315,2017,First Owner,Petrol,MANUAL,29/09/2021,3,47,414399
MarutiVitaraBrezzaZDI,11025,2018,First Owner,Diesel,AUTOMATIC,09/01/2022,11,39,924799
MarutiAltoK10,103426,2010,First Owner,Petrol + CNG,MANUAL,30/12/2019,7,42,172940
HyundaiVernaFLUIDIC1.6SXVTVT,15755,2013,First Owner,Petrol,MANUAL,20/02/2021,20,47,561399
NissanTerranoXL110,81199,2014,First Owner,Diesel,MANUAL,26/06/2021,10,46,420199
MarutiRitz,63754,2010,First Owner,Petrol,MANUAL,02/11/2021,7,37,270299
HyundaiElitei201.4CRDIASTA,81474,2016,Second Owner,Diesel,MANUAL,17/01/2021,12,48,603899
SkodaRapid1.5TDIAT,60229,2015,First Owner,Diesel,AUTOMATIC,20/12/2021,8,43,557699
MarutiCelerioVXI,3969,2019,Second Owner,Petrol + CNG,MANUAL,15/09/2021,1,48,527799
MahindraXUV500W8,157462,2012,First Owner,Diesel,MANUAL,30/08/2021,11,4,417599
MarutiWagonR1.0,60223,2012,First Owner,Petrol,MANUAL,29/07/2021,4,4,342099
MarutiSwiftDzireVDIBS,98400,2014,First Owner,Diesel,MANUAL,29/09/2021,12,43,392199
HyundaiGrandi10MAGNA1.2KAPPA,16182,2017,First Owner,Petrol,MANUAL,31/12/2021,13,46,410399
ToyotaEtios,92903,2011,First Owner,Petrol + CNG,MANUAL,08/04/2021,4,41,254299
HyundaiVernaFLUIDIC1.6SX,75428,2013,First Owner,Petrol,MANUAL,21/08/2021,21,32,539899
MarutiSwiftDzireVDIBS,63868,2012,First Owner,Diesel,MANUAL,08/03/2021,20,49,322299
HondaCityVMT,144078,2011,First Owner,Petrol,MANUAL,08/09/2021,3,43,327799
MarutiWagonR1.0,91411,2014,First Owner,Petrol,MANUAL,11/07/2021,12,4,333199
HondaCityVMT,53106,2012,First Owner,Petrol,MANUAL,06/02/2021,11,45,409599
MarutiSwift,49748,2015,Second Owner,Petrol,MANUAL,Expired,19,43,535565
HyundaiVernaFLUIDIC1.4CRDI,68473,2014,Second Owner,Diesel,MANUAL,22/05/2021,18,43,459599
MarutiErtigaVDI,85164,2014,First Owner,Diesel,MANUAL,14/01/2021,5,45,455899
TataTiagoXT1.2,25131,2018,First Owner,Petrol,MANUAL,03/06/2021,15,49,417499
MarutiRitz,99338,2011,First Owner,Diesel,MANUAL,24/01/2021,6,4,218099
MarutiSwiftDzire,53702,2013,Second Owner,Diesel,MANUAL,30/05/2021,18,41,524499
MahindraXUV500,121782,2015,First Owner,Diesel,MANUAL,08/09/2021,5,4,843199
HyundaiSantroXing,24345,2010,First Owner,Petrol,MANUAL,15/11/2021,4,44,234799
MarutiAltoK10,10490,2015,First Owner,Petrol,MANUAL,09/10/2021,6,49,289299
Hyundaii20SPORTZ1.2,109919,2011,Second Owner,Petrol,MANUAL,Expired,19,41,218899
MarutiSwift,129639,2012,First Owner,Diesel,MANUAL,11/12/2020,5,45,314099
MarutiVitaraBrezza,18175,2019,First Owner,Diesel,MANUAL,29/12/2022,3,49,876399
HyundaiGrandi10SPORTZO,15609,2017,First Owner,Petrol,MANUAL,28/05/2021,17,45,598875
Hyundaii10SPORTZ1.2,33686,2011,Third Owner,Petrol,MANUAL,14/06/2021,15,42,336326
Hyundaii10MAGNA,58101,2009,First Owner,Petrol,MANUAL,29/07/2021,11,43,181299
RenaultKwid1.0RXT,20346,2017,First Owner,Petrol,MANUAL,Zero_Dep,2,47,292199
MahindraXUV500W11,16286,2018,First Owner,Diesel,MH03,Zero_Dep,4,47,1603499
MarutiSwift,60963,2014,First Owner,Petrol,MANUAL,01/07/2021,11,45,572865
MarutiVitaraBrezza,37767,2016,First Owner,Diesel,MANUAL,10/05/2021,4,49,670599
Hyundaii10MAGNA1.2,93885,2011,First Owner,Petrol,MANUAL,Expired,7,42,228199
MarutiAlto800,18966,2015,Second Owner,Petrol,MANUAL,27/03/2021,7,45,283699
MarutiBalenoALPHA1.2,85118,2016,Third Owner,Petrol,MANUAL,05/05/2021,12,45,522080
MarutiSwift,5419,2019,First Owner,Petrol,MANUAL,27/07/2022,29,48,606799
FiatGrandPuntoACTIVE,109887,2010,Second Owner,Petrol,MANUAL,Expired,5,36,98799
MarutiWagonR1.0LXI,164707,2012,First Owner,Petrol + CNG,MANUAL,06/05/2021,23,39,248199
MarutiErtigaVXI,148319,2015,First Owner,Petrol + CNG,MANUAL,21/09/2021,4,4,550399
RenaultKwid,52417,2016,Second Owner,Petrol,MANUAL,10/07/2021,21,45,247499
HyundaiGrandi10SPORTZ1.2KAPPA,42054,2013,First Owner,Petrol,MANUAL,28/12/2021,6,47,405899
HyundaiEonERA,58799,2012,First Owner,Petrol,MANUAL,31/05/2021,15,42,187499
HyundaiNewElantraS1.6,81971,2013,First Owner,Diesel,MANUAL,01/02/2021,10,44,570399
MarutiAltoK10,52660,2014,Second Owner,Petrol,MANUAL,27/09/2021,12,43,219299
HyundaiEonMAGNA,28625,2016,First Owner,Petrol,MANUAL,20/02/2021,15,44,244899
HyundaiElitei20ASTA1.4,37296,2015,First Owner,Diesel,MANUAL,18/03/2021,8,45,632999
Hyundaii10MAGNA1.2,181036,2011,First Owner,Petrol,MANUAL,24/04/2021,13,42,193399
MahindraXUV500W8,95203,2012,Second Owner,Diesel,MANUAL,Insurance Expired,3,43,489835
MarutiBalenoDELTA1.2,12735,2019,First Owner,Petrol,MANUAL,29/09/2022,6,5,603699
RenaultKwidRXT1.0EASY-R,2937,2017,First Owner,Petrol,KA04,Zero_Dep,13,48,402499
NissanSunnyXV,49363,2014,First Owner,Petrol,MANUAL,03/01/2022,4,43,407080
Hyundaii10ASTA1.2ATKAPPA2WITH,177197,2011,First Owner,Petrol,AUTOMATIC,04/07/2021,6,41,266399
MarutiRitz,104556,2012,First Owner,Diesel,MANUAL,Expired,4,43,204999
MarutiAltoK10,17944,2016,First Owner,Petrol,MANUAL,14/01/2023,18,46,286799
MarutiWagonR1.0,57827,2015,First Owner,Petrol,MANUAL,16/04/2021,5,44,318899
FordEcosport1.5TDCITITANIUM,52212,2017,First Owner,Diesel,HR51,Zero_Dep,11,48,772799
HyundaiElitei20SPORTZ(O),58001,2015,Second Owner,Diesel,MANUAL,10/04/2021,11,48,554799
MarutiBalenoZETA1.2,26026,2016,First Owner,Petrol,MANUAL,31/01/2021,4,45,551399
MarutiSX4,139476,2011,First Owner,Diesel,MANUAL,20/06/2021,5,42,170399
NissanTerranoXLPLUS85PS,31536,2016,First Owner,Diesel,MANUAL,15/03/2021,13,48,710899
ToyotaCorollaAltisD4D,105865,2012,First Owner,Diesel,MANUAL,19/07/2021,6,44,362899
ToyotaInnova2.5GX8STRBS,99985,2014,First Owner,Diesel,MANUAL,30/10/2021,26,42,845699
HondaAmaze1.5VXMTI,136754,2013,First Owner,Diesel,MANUAL,04/06/2021,6,41,299500
RenaultKwidRXT,19900,2019,First Owner,Petrol,MANUAL,07/06/2021,5,48,378899
MarutiVitaraBrezzaZDI,28478,2017,First Owner,Diesel,MANUAL,08/09/2021,14,48,909899
MarutiSwift,86567,2015,First Owner,Diesel,MANUAL,19/03/2021,19,43,396599
MarutiAStar,74743,2011,First Owner,Petrol,MANUAL,19/05/2021,1,4,178399
MahindraXUV500W8,119930,2015,First Owner,Diesel,MANUAL,21/03/2020,23,41,700699
HyundaiGrandi10MAGNA1.2KAPPA,28407,2017,First Owner,Petrol,MANUAL,30/08/2021,7,46,409599
MarutiSwift,73784,2017,Second Owner,Diesel,MANUAL,Expired,6,43,542699
SkodaRapid1.5ACTIVETDI,117453,2016,First Owner,Diesel,GJ05,Zero_Dep,2,43,462299
MarutiAltoK10,70580,2012,First Owner,Petrol,MANUAL,14/02/2021,7,41,219599
MarutiCiazALPHA1.5ATVTVT,22454,2018,First Owner,Petrol,HR26,Comprehensive,8,49,1044499
HyundaiVernaFLUIDIC1.6CRDISX,83440,2015,First Owner,Diesel,MANUAL,24/08/2021,8,43,619899
HondaCityVMT,7349,2018,First Owner,Petrol,MANUAL,29/08/2021,21,49,898699
MarutiVitaraBrezzaZDIPLUSDUAL,152025,2016,First Owner,Diesel,MANUAL,Expired,4,43,672342
TataIndicaVistaVX,48433,2011,First Owner,Diesel,MANUAL,Comp,4,44,172999
HondaCityVXMT,64943,2015,First Owner,Petrol + CNG,MANUAL,08/12/2021,21,43,730299
MarutiVitaraBrezzaZDI,35381,2017,First Owner,Diesel,MANUAL,03/02/2022,1,43,822899
MarutiAltoK10VXI,31702,2016,First Owner,Petrol,DL5C,Comp,5,46,316199
MarutiSwiftDzireVDIBS,87125,2014,Second Owner,Diesel,MANUAL,04/12/2021,6,42,529199
MarutiAltoK10,28902,2018,First Owner,Petrol,MANUAL,06/03/2021,9,44,316299
MarutiSwiftDzireVDIBS,82065,2013,First Owner,Diesel,MANUAL,30/04/2021,8,42,311199
VolkswagenVentoHIGHLINE,27821,2013,First Owner,Diesel,MANUAL,Expired,3,43,367099
HondaCitySMT,89227,2011,Second Owner,Petrol,MANUAL,29/11/2021,23,43,293776
MarutiSwift,143871,2014,First Owner,Diesel,MANUAL,09/10/2021,5,46,459199
MarutiAlto800,31490,2014,First Owner,Petrol,MANUAL,31/07/2021,6,47,278599
HyundaiElitei20ASTA,37486,2015,First Owner,Petrol,MANUAL,27/02/2021,6,46,588299
MarutiWagonR1.0,38140,2011,First Owner,Petrol,MANUAL,27/08/2021,5,4,243999
MarutiWagonR1.0,22264,2012,First Owner,Petrol,MANUAL,18/11/2020,7,46,266999
Hyundaii20MAGNAO,59210,2011,First Owner,Petrol,MANUAL,06/12/2021,9,44,343699
HyundaiVernaFLUIDIC1.4,47365,2012,First Owner,Diesel,MANUAL,03/06/2021,20,44,399899
ToyotaCorollaAltisD4D,85321,2015,Second Owner,Diesel,MANUAL,17/04/2021,7,45,764599
SkodaRapid1.6TDIMTAMBITION,206123,2013,First Owner,Diesel,MANUAL,Expired,7,4,294699
MarutiSwiftDzireVDIBS,84008,2010,Second Owner,Diesel,MANUAL,03/06/2021,7,42,299699
MarutiSwiftVXILIMITED,27809,2017,First Owner,Petrol,MANUAL,Zero_Dep,6,46,511399
Hyundaii10ERA1.1,61850,2012,First Owner,Petrol,MANUAL,20/11/2021,8,43,197299
TataIndicaVistaVX,71644,2012,Third Owner,Diesel,MANUAL,01/05/2021,15,39,181500
TataNanoXT,50007,2014,First Owner,Petrol,MANUAL,22/02/2021,6,45,91699
HyundaiXcentSX1.1CRDI,64289,2014,First Owner,Diesel,MANUAL,20/05/2021,12,44,342599
MarutiSwiftDzire,52373,2012,First Owner,Diesel,MANUAL,30/09/2021,10,41,531399
MarutiSwift,55257,2010,Second Owner,Petrol,MANUAL,10/08/2021,16,39,208243
MarutiVitaraBrezza,61003,2016,Second Owner,Diesel,MANUAL,13/04/2021,2,46,592899
HyundaiVernaFLUIDIC1.6SX,106211,2013,First Owner,Petrol,MANUAL,16/02/2021,5,43,392099
ToyotaFortuner3.0MT,138612,2012,Second Owner,Diesel,MANUAL,16/09/2021,9,44,1057482
ToyotaFortuner3.0AT,99050,2014,Second Owner,Diesel,AUTOMATIC,08/06/2021,10,45,1409199
MarutiWagonR1.0,15192,2018,First Owner,Petrol,MANUAL,28/12/2021,10,48,373399
MarutiSwift,85199,2014,First Owner,Diesel,MANUAL,12/02/2021,18,44,363799
VolkswagenVentoHIGHLINE,116410,2013,First Owner,Diesel,MANUAL,14/01/2022,6,42,424399
MarutiAlto800,70424,2013,Second Owner,Petrol,MANUAL,02/09/2021,9,41,259699
MarutiAltoK10,39038,2012,Second Owner,Petrol,MANUAL,15/11/2021,16,43,159299
MarutiAStar,61576,2009,Second Owner,Petrol,MANUAL,06/09/2021,9,37,199499
Hyundaii20ASTA1.4,28588,2012,Second Owner,Diesel,MANUAL,Expired,29,44,413326
VolkswagenVentoTRENDLINE,85190,2011,First Owner,Petrol,MANUAL,22/06/2021,15,41,261299
VolkswagenPoloCOMFORTLINE1.2L,56244,2013,Third Owner,Diesel,MANUAL,Expired,8,39,365299
HondaAmaze1.5SXMTI,54624,2014,First Owner,Diesel,MANUAL,Expired,11,43,408099
MarutiRitz,100995,2012,First Owner,Diesel,MANUAL,07/05/2021,9,44,234399
Hyundaii10SPORTZ1.1,44774,2014,First Owner,Petrol,MANUAL,Expired,14,42,322699
HondaBrio1.2SMTI,70054,2014,Second Owner,Petrol,MANUAL,09/10/2021,5,43,253199
MarutiSwift,39124,2013,First Owner,Diesel,MANUAL,16/02/2021,6,43,356899
TataNEXONXMA,8972,2019,First Owner,Petrol,GJ01,Expired,11,49,762799
MarutiEeco5STRWITHAC,17082,2020,First Owner,Petrol,MANUAL,03/03/2023,4,46,438399
HyundaiEonERA,12238,2017,Second Owner,Petrol,MANUAL,Expired,5,44,300699
HondaWR-V1.2i-VTECVX,37486,2017,First Owner,Petrol,MANUAL,29/03/2021,8,47,653099
MarutiAltoK10VXI,35770,2015,First Owner,Petrol,DL9C,Comp,45,44,302663
VolkswagenPoloGT,13259,2018,First Owner,Petrol,MANUAL,30/01/2021,13,49,952999
MarutiAlto800,17644,2019,First Owner,Petrol,MANUAL,14/01/2022,5,49,339904
HondaBrio1.2SMTI,71493,2012,First Owner,Petrol,MANUAL,07/01/2021,8,43,285199
Hyundaii10,67213,2008,First Owner,Petrol,MANUAL,22/01/2021,14,4,113799
Hyundaii20SPORTZ1.2,81608,2014,First Owner,Petrol,MANUAL,25/02/2021,10,41,452199
MarutiBalenoALPHA1.2,19619,2017,Second Owner,Petrol,MANUAL,30/08/2021,1,47,648299
MarutiSwiftVDI,63435,2015,First Owner,Diesel,MANUAL,19/04/2021,6,46,544999
MarutiAltoK10,59253,2012,First Owner,Petrol,MANUAL,22/07/2021,5,41,256999
HyundaiVernaFLUIDIC1.6SX,68242,2013,Third Owner,Petrol,MANUAL,29/08/2021,6,43,403399
TataTiagoXZA1.2,24537,2018,First Owner,Petrol,MH47,Third_party,5,49,442899
MarutiWagonR1.0,70430,2013,Second Owner,Petrol,MANUAL,06/02/2021,5,45,228199
HyundaiElitei20ASTA1.4,43627,2014,First Owner,Diesel,MANUAL,07/12/2020,8,45,499499
HondaAmaze1.5SMTI,50967,2015,First Owner,Diesel,MANUAL,29/08/2021,16,47,437099
MarutiSwift,141954,2012,First Owner,Diesel,MANUAL,22/05/2021,26,39,338436
MahindraScorpioSLEBS,104541,2014,First Owner,Diesel,MANUAL,Insurance Expired,13,42,453932
ToyotaCorollaAltisD4D,168801,2011,First Owner,Diesel,MANUAL,16/10/2021,32,43,331799
FordFigo1.2ZXI,42273,2011,First Owner,Petrol,MANUAL,08/01/2021,3,38,261499
MarutiSwift,56865,2016,Second Owner,Petrol,MANUAL,26/06/2021,6,45,432499
MahindraMARAZZOM87,23301,2018,First Owner,Diesel,MH02,Comp,13,45,1032599
HondaCityVMT,52532,2009,Third Owner,Petrol,MANUAL,Expired,19,4,237399
Hyundaii20SPORTZ1.2,58219,2012,Second Owner,Petrol,MANUAL,17/12/2021,2,39,351099
HondaAmaze1.2VCVTI,13578,2019,First Owner,Petrol,DL12,Zero_Dep,18,47,674599
HondaCityVMT,63022,2011,Second Owner,Petrol,MANUAL,27/10/2021,5,43,279592
TataTiagoXZA1.2,31232,2018,First Owner,Petrol,MH03,Zero_Dep,16,47,470799
RenaultKwidCLIMBER1.0,32733,2018,First Owner,Petrol,KA05,Comp,7,44,445599
VolkswagenVentoHIGHLINE,34436,2013,Second Owner,Petrol,MANUAL,25/11/2021,8,44,384899
HondaBrio1.2VXMTI,70915,2014,First Owner,Petrol,MANUAL,04/08/2021,36,4,361699
MarutiSwiftZDI,84237,2018,First Owner,Diesel,AUTOMATIC,02/03/2021,13,45,571899
MarutiWagonR1.0LXI,56771,2016,First Owner,Petrol + CNG,MANUAL,Expired,2,43,345799
MarutiAlto800LXI,34760,2016,Second Owner,Petrol + CNG,MANUAL,13/08/2021,18,45,309934
MarutiWagonR1.0LXI,65990,2016,Second Owner,Petrol + CNG,MANUAL,11/06/2021,11,44,361899
FordEcosport1.5TITANIUMTDCI,132779,2013,First Owner,Diesel,MANUAL,07/11/2020,3,39,369299
MarutiCiazDELTA1.3DDIS,7712,2018,First Owner,Diesel,MANUAL,18/03/2022,12,49,844499
HyundaiGrandi10SPORTZ1.1,70775,2015,First Owner,Diesel,MANUAL,15/07/2021,3,38,425799
MarutiAltoK10,30028,2018,First Owner,Petrol,MANUAL,02/05/2021,10,45,382399
MarutiBalenoDELTA1.2,16906,2016,First Owner,Petrol,MANUAL,09/02/2021,13,48,549299
MarutiCiazVDI+,58511,2017,First Owner,Diesel,MANUAL,07/02/2021,9,48,723499
MahindraXUV500W6,99893,2013,First Owner,Diesel,MANUAL,02/02/2021,6,44,453999
HyundaiGrandi10Magna1.2AT,12681,2018,First Owner,Petrol,AUTOMATIC,14/11/2021,5,48,493965
MarutiZenEstilo,32985,2010,First Owner,Petrol,MANUAL,19/10/2021,15,43,182299
Hyundaii10SPORTZ1.2,59218,2012,First Owner,Petrol,MANUAL,Expired,10,41,305899
ToyotaEtiosLivaD4D,176674,2014,Second Owner,Diesel,MANUAL,17/01/2021,4,44,323599
MarutiCelerioZXI,37296,2014,First Owner,Petrol,MANUAL,05/09/2021,6,46,352399
Hyundaii20ASTA1.4,86415,2012,First Owner,Diesel,MANUAL,06/07/2021,3,42,336299
MarutiSwift,65847,2015,First Owner,Petrol,MANUAL,Expired,23,43,391599
VolkswagenPoloHIGHLINE1.5L,66126,2015,First Owner,Diesel,MANUAL,21/06/2021,16,42,496799
MarutiAlto,34429,2011,First Owner,Petrol,MANUAL,22/10/2021,7,42,175999
MarutiAltoK10,22610,2014,First Owner,Petrol,MANUAL,15/01/2021,8,49,330999
MarutiVitaraBrezzaZDI,22620,2018,First Owner,Diesel,AUTOMATIC,31/07/2021,17,49,790899
MarutiSwiftDzireVDI,59916,2015,First Owner,Diesel,KA05,Comp,23,43,561899
VolkswagenPoloTrendline1.0L,2012,2020,First Owner,Petrol,KA04,Zero_Dep,3,49,639999
HyundaiNEWSANTRO1.1MAGNACNG,27743,2018,First Owner,Petrol + CNG,TS08,Zero_Dep,8,41,486580
MahindraXUV500W6,141528,2014,Second Owner,Diesel,MANUAL,Expired,4,4,575599
MarutiSwiftLXI,48448,2007,Second Owner,Petrol,MANUAL,16/01/2021,11,41,149899
HyundaiGrandi10SPORTZ1.2KAPPA,53642,2013,First Owner,Petrol,MANUAL,Expired,6,43,327699
SkodaSuperbELEGANCE1.8TSI,76434,2012,Second Owner,Petrol,MANUAL,Expired,9,39,351799
HondaCityVMT,38614,2015,First Owner,Petrol,MANUAL,04/07/2021,6,46,720399
VolkswagenPoloTrendline1.0L,1889,2018,First Owner,Petrol,KA01,Third_party,4,49,620999
MarutiSwiftVDI,119742,2015,Second Owner,Diesel,MANUAL,30/03/2021,4,43,451799
Hyundaii10MAGNA1.2,28790,2010,First Owner,Petrol,MANUAL,05/05/2021,6,42,281599
HyundaiEonMAGNA,25276,2013,Second Owner,Petrol,MANUAL,Expired,5,39,876
MarutiAltoK10,18998,2016,Second Owner,Petrol,MANUAL,26/02/2021,6,45,292199
MahindraTUV300,32394,2017,First Owner,Diesel,MANUAL,19/02/2021,17,45,762399
HyundaiGrandi10MAGNA1.2KAPPA,91814,2015,First Owner,Petrol,MANUAL,05/01/2021,18,43,377899
MarutiEeco5STRWITHAC,111610,2018,First Owner,Petrol + CNG,MANUAL,24/09/2021,10,41,388799
MarutiWagonR1.0,115055,2013,Second Owner,Petrol,MANUAL,10/10/2021,10,42,317299
MarutiEeco7,28559,2013,First Owner,Petrol,MANUAL,Insurance Expired,12,42,274500
MarutiWagonR1.0,59887,2013,First Owner,Petrol,MANUAL,18/11/2020,5,44,338599
ToyotaEtiosGD,82778,2013,First Owner,Diesel,MANUAL,08/05/2021,12,44,328799
MarutiSwift,136700,2012,First Owner,Diesel,MANUAL,15/01/2021,5,42,318299
HondaBR-V1.5i-VTEC,21706,2017,First Owner,Petrol,MANUAL,04/12/2020,18,44,710799
MarutiAlto800LXI,81291,2017,First Owner,Petrol + CNG,MANUAL,26/07/2021,12,47,358399
MarutiSwiftDzire,66761,2012,Second Owner,Diesel,MANUAL,25/10/2021,7,42,492799
MarutiSwiftDzire,56620,2013,First Owner,Diesel,MANUAL,06/01/2022,9,44,342299
MarutiDzire,9562,2017,Second Owner,Petrol,MANUAL,20/11/2021,14,49,655442
HyundaiGrandi10SPORTS1.2,46242,2016,First Owner,Petrol,MANUAL,03/02/2022,14,47,454799
RenaultKwid,8656,2017,First Owner,Petrol,MANUAL,Expired,26,49,275399
RenaultKwidRXT,7343,2019,First Owner,Petrol,MANUAL,23/10/2021,12,49,425699
Hyundaii10MAGNA1.2,63995,2012,First Owner,Petrol,MANUAL,21/12/2021,13,4,279399
Hyundaii20SPORTZ1.2,47294,2013,Second Owner,Petrol,MANUAL,18/04/2021,13,43,341199
Hyundaii20MAGNA1.2,78770,2009,First Owner,Petrol,MANUAL,08/08/2021,9,41,179499
MarutiCiazZDISHVS,62539,2016,First Owner,Diesel,DL3C,Zero_Dep,4,46,577399
Hyundaii10SPORTZ1.2AT,47790,2012,Third Owner,Petrol,AUTOMATIC,Expired,15,43,283599
MarutiAlto,32234,2012,First Owner,Petrol,MANUAL,13/03/2021,3,43,170599
HyundaiGrandi10SPORTZ(O)1.2AT,27147,2017,Second Owner,Petrol,GJ27,,8,42,463899
